id,account,account_screenname,account_location,account_followers,account_following,account_age_days,account_description,is_retweet,original_author,tweeted_on,count_retweeted,count_favorited,hashtags,tweet_text
1298401878900842496,👠DeplorableBlonde4Trump💍👠🌟Text TRUMP to 88022,nvrimmie,"Henderson, NV",19421,21394,2863,#KAG2020♥️BRAZILFAMILY🇧🇷 🇳🇮#ISRAEL🇳🇮🇺🇸#45 👠#NRA🌟🌟#LOVEANIMALS🐾🐾💙💙#BACKTHEBLUE💙👑💍#WOMENFORTRUMP👠👠🇺🇸🇺🇸,1,@SealeyGerald,2020-08-25 23:28:25,24,0,," ATTENTION MAGA PATRIOT'S
⭐️🇺🇸⭐️🇺🇸⭐️🇺🇸⭐️🇺🇸⭐️🇺🇸
                   🤜🏻💥🤛🏻
PLEASE FOLLOW AND RETWEET THIS GREAT MAGA

       …"
1298401874744246272,We're All In! ⭐️⭐️⭐️⭐️,BRNordgren,TBD,2428,2554,1552,"PARLER @BRNordgren;
I tweet for Truth! I believe in God, Family, Country; Love humor; #Trump2020 #KAG; #MAGA
Stuck UNDER 2,500 followers. CENSORSHIP!",1,@NavyFlyBoyUSA,2020-08-25 23:28:24,135,0,," Hey FOX, do us a favor. Dump Dirty Donna and use Tammy in those slots. People change the channel or hit the fast forward…"
1298401874631110661,Cary Trudell,CaryTrudell,USA,245,404,1489,"Family, Truth, OIF Veteran
Poetry/SyFy Author

🇺🇸#Trump2020🇺🇸
#America Deserves 2B Great
#GenFlynnHero
#AmericaFirst
#GodWithin
#TakeTheOath
#DigitalSoldier",1,@LouDobbs,2020-08-25 23:28:24,142,0,," Remarkable RNC: @EdRollins @mgoodwin_nypost praise the speakers of last night’s convention, calling it high-energy, upbeat, s…"
1298401871044816899,Dana Garcia,DanaZZGarcia,,89,534,3889,,1,@LouDobbs,2020-08-25 23:28:23,216,0,," Hateful Opportunists: Kenosha, WI small-business owner Scott Carpenter, condemns the riots that destroyed his store, B&amp;L Offi…"
1298401863608524805,ChesChris4,FNUChristoff4,il Lago,27,17,1698,la familia,0,FNUChristoff4,2020-08-25 23:28:22,0,0,"MAGA,MAGA2020","economy is at a historic low, racism is escalating, foreign relations are tense, etc.. the list goes on! Is this the agenda of #MAGA and @realDonaldTrump? To tear the country totally  apart in order for a reelection campaign of #MAGA2020? How do you tell someone it's gonna be...."
1298401862618615808,ChesChris4,FNUChristoff4,il Lago,27,17,1698,la familia,0,FNUChristoff4,2020-08-25 23:28:21,0,0,"MAGA2020,MAGA","#MAGA2020? Really?! Nobody can come up with a better slogan? @realDonaldTrump has had 4 years to #MAGA and our country is in turmoil. COVID-19 still going strong after 8 months, we continue to have to wear masks in public, our kids can't go to school, millions unemployed, the..."
1298401860009840640,The1KingCole,cole_the1,,158,365,41,"Here for the right reasons.

The car guy. Feel free to ask questions.  I dont mind saving 1 person at a time from being ripped off.",1,@DCtheCapital,2020-08-25 23:28:21,37,0,," CNC POLITICS 🇺🇸

""MAGA MEME REVIEW Ep. 21 - Peaceful Protests Are ALL THE RAGE!"" 

Hosted by: @MrsDCtheCapital

(CLICK LI…"
1298401859615354880,THOMAS,zee10103,,877,4009,1058,,1,@gonepecan11,2020-08-25 23:28:21,1,0,, @N_Testie @tivadinc @trumpnut45 @waldon_mike @VoteRed53 @Raffmaster @JeffSaxon @Belann_Farrar1 @cmccbyfaith @2PopJohn @_Re…
1298401855932751872,UnapologeticallyAmerican,OnwardPatriots,,4343,4260,398,"RE-ELECT OUR PRESIDENT!!! 🐶Dogs have souls. 🎹Music lover. 🎨Artist, M.F.A.",1,@RepublicanDad20,2020-08-25 23:28:20,6,0,," @RealJamesWoods You’re a cop, a man you’re trying to arrest is fighting w/you &amp; you tase him, no effect, he isn’t comp…"
1298401853970030593,Amoo Sia,sia_amoo,United States,233,258,585,#ری‌استارت #تنها_راه_نجات_ری‌استارت 𝙈𝙖𝙠𝙚 𝙞𝙧𝙖𝙣 𝙜𝙧𝙚𝙖𝙩 𝙖𝙜𝙖𝙞𝘯 👽👽𝘗𝘴𝘺𝘤𝘩𝘦𝘥𝘦𝘭𝘪𝘤 𝘵𝘳𝘢𝘯𝘤 𝘈𝘳𝘵𝘪𝘴𝘵👽👽 𝘮𝘶𝘴𝘪𝘤𝘪𝘢𝘯,1,@restartleader,2020-08-25 23:28:19,329,0,wonder," I #wonder, in America where great ideas, innovation and creativity come first, how @HillaryClinton and @joeBiden can run…"
1298401851382128642,ጋልḲE̳,Ja1Ke3,,2415,1355,1366,☠️ | 𝙂IFs | ☠️ | All my friends are notable exceptions |,1,@Feisty_FL,2020-08-25 23:28:19,1369,0,," Natalie Harp’s life was saved because President Trump passed Right to Try. 
He was her Good Samaritan. Trump believes in sur…"
1298401841278070784,Jack Winfrey,JackWinfrey4,E TEXAS.,6182,6635,401,"President Trump supporter
build the wall.
Conservative, Christian.",1,@mikandynothem,2020-08-25 23:28:16,1097,0,," “Make no mistake: Joe Biden and Kamala Harris want a cultural revolution. A fundamentally different America."" -Tim Scott…"
1298401841278050311,David Harvey,DavidHarvey_SC,"Florence, SC",179,315,4344,#Conservative #Deplorable @realDonaldTrump is president and #GeeksandGamers tells it like it is. #JesusChrist is my Lord and Savior and is returning one day!,0,DavidHarvey_SC,2020-08-25 23:28:16,0,0,"DonnaBrazile,MAGA,KAG2020,AmericaFirst",@ACTforAmerica #DonnaBrazile is what we are working against #MAGA #KAG2020 #AmericaFirst
1298401823825580032,Charles Rusinko,cjr18509,"Scranton, PA",1155,1633,1428,"Government &Politics,Weather, Political News, N Y Yankees FAN, Pro Life, Conservative,Veteran US Air Force, Practicing Catholic, PRO USA, PRO TRUMP PRO USA FLAG",1,@mikandynothem,2020-08-25 23:28:12,1725,0,YouAintBlack," Saying #YouAintBlack unless you vote Democrat epitomizes the true liberal mindset. 
There's a Black Awakening happening…"
1298401817072631809,tla125,tla1251,,14,40,87,,1,@realDonaldTrump,2020-08-25 23:28:10,42182,0,MAGA, AMERICA FIRST! #MAGA https://t.co/Zt3I9RvMjX
1298401806511480832,N P,Nupur1121,Jersey Girl in Chi City,404,681,4177,Cheeky. Fearless.,1,@AbediAA,2020-08-25 23:28:08,950,0,," My fellow Indians, Tomi Lahren thanks you for your support for Trump and his MAGA agenda. 

If you’re wise, you’ll watch until…"
1298401803931877383,Abraham Lincoln,Real_ALincoln,"Washington, DC",1754,2056,993,"""A man of profound feeling, just and firm principles, and incorruptible integrity.""  ANY non-Republican--the party's not what it used to be!",0,Real_ALincoln,2020-08-25 23:28:07,0,0,"RNCConvention2020,MAGA",#RNCConvention2020 #MAGA https://t.co/lCJkr4U9fr
